 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 iştihâ-yı kâzib _  yalancı iştiha.  
 iştihar _  meşhur olma, tanınma, ün alma.  
 iştirâk-i umumi _  herkesin katılması..  
 iştirâk _ ortaklık, katılma.  
 iştiyak _  aşırı ihtiyaç duyma, aşırı istek, özleme, arzu duyma.  
 iştiyakât _  şevklilik.  
 iştiyakâver _  çok istekli. Şiddetli arzulu.  
 iştiyakengiz _  istek veren, istekli.  
 itaat _  itaat etme, söz dinleme, ibâdet.  
 itaatkârâne _  itaat ederek, boyun eğerek.  
 itfâ _  söndürme, bastırma.  
 itham _  suçlama.  
 itkân _  sağlam ve pürüzsüz sanat eseri.  
 itkân-ı muhkem _  dayanıklı sağlamlık ve pürüzsüzlük.  
 itkân-ı mükemmel _  mükemmel bir sağlamlık.  
 itmam _  tamamlama.  
 itminan _  inanmak, tam olarak bilme, kararlılık, tatmin olmuşluk.  
 itminân-ı kalb _  kalpten ve gönülden inanma, kalbin emniyet içinde olması.  
 itminân-ı nefs _  nefsin inanması, nefsi inanç bakımından tatmin etmek.  
 ittibâ _  uyma, tâbî olma, arkasından gitme.  
 ittibâ-ı sünnet _  Peygamberimizin (a. s. m. ) sünnetine uyma.  
 ittifak _  beraber hareket etmek için sözleşmek, anlaşmak.  
 ittifak-ı evham·sâz _  evham ve vesvese üzerine kurulmuş ittifak.  
 ittifâk-ı mutlak _  tam ve sınırsız birleşme.  
 ittifâki _  birleşmeye dâir, üzerinde ittifak edilen husus.  
 ittihâd-ı sikke _  mühür birliği.  
 ittiham _  suçlama; suçlu duruma düşürme.  
 ittihat _ birleşmek, birlik, aynı fikirde olmak.  
 ittihaz _  kabul etme, kabullenme, edinme.  
 ittikan _  sağlam yapılmak, esaslı ve şüphesiz yakından bilmek.  
 ittisâl-i mânâ _  mânalardaki yakınlık. Mânaların birleşmesi, uyuşması.  
 ittisâl _  ulaşmak, bitişmek; birbirine dokunmak, yakınlık, bağlılık, kavuşmak.  
 iz'âc _ rahatsız etme, bunaltma.  
 iz'âcât _  iz'aclar, rahatsız etmeler.  
 iz'ân-ı akli _  uzak görüşlülük. Gayet akıllıca. İnce kavrayış.  
 iz'ân-ı kalbi _  kalbi anlayış ve inanç.  
 iz'ân-ı yakin _  316. sayfa.  
 iz'an _  basîret, anlayış, teslim olup itaat etmek, inanç, idrak, akıl, zekâ.  
 izâbe-i nühas _  bakırı eritmek, su gibi akıcı hâle koymak.  
 izah _  açıklama.  
 izahat _ açıklamalar.  
 izâle _ ortadan kaldırma, yok etme.  
 izân·rubâ-yı kâinat _  kâinatın hayret ve şaşkınlık veren vechesi.  
 izdivac _  çift olmak, birbirine eş olmak.  
 izdiyâd _ arttırmak.  
 izhâr-ı acz _  güçsüzlüğünü belirtmek, âcizliğini açığa vurmak.  
 izhâr _  açığa çıkarma, ortaya koyma, gösterme, belirtme.  
 izinnâme _  izin belgesi.  
 izn-i İlâhi _  Allah'ın izni.  
 izn-i Rabbânî _  Allah'ın izni.  
 izn-i şer'i _  şeriatın, İslâm'ın Kur'ân'ın izin dairesi. Şeriatın izni.  
 izzet _ şeref, üstünlük.  
 izzet-i azamet _  izzet ve itibar-i İlâhi'nin büyüklüğü. Allah'ın Şanı.  
 izzet-i celâl _  büyüklük ve yüceliğin haysiyet ve şerefi.  
 izzet-i iktidar _  idâreyi elinde bulunduran gücün haysiyet ve şerefi.  
 izzet-i kudret _  kudretin izzeti ve şerefi.  
 izzet-i kudsiyet _  kudsiliğin izzeti.  
 izzet-i mağrurâne _  gururluca izzet gururluluktan kaynaklanan izzet ve şeref.  
 izzet-i nefs _ vakar, şeref ve haysiyetini muhafaza.  
 izzetâlûd _  izzetle karışık.  
 Jön Türk _ 1868'den sonra, Avrupada'ki gibi; güyâ yenilik ve terakki isteyen Genç Osmanlılar.  
 Kâb-ı Kavseyn _  iki yay mesâfesi · imkân ve vücub ortasında bir makâm, Hz. Muhammed'in (a. s. m. ) Mîraca çıkışıyla vardığı son nokta. Bütün yaratılanları arkasına alıp Yaradanla müşerref ve muhatap olduğu makâm.  
 kabil _  gibi, türlü, benzer.  
 kabile _  birlikte yaşayan, konup geçen, bir sülâleden gelen insanlar.  
 kabih _  çirkin, fenâ, kötü, yakışıksız, ayıp.  
 kâbil _  mümkün, muhtemel, kabul eden.  
 kâbil-i hitap _  hitap edilebilen, kendisiyle konuşulabilen.  
 kâbil-i istifâde _  faydalanılabilir, istifâde etmeye müsâit.  
 kâbil-i kıyâs _  kıyaslanabilir, kıyaslanabilen.  
 kâbil-i nesh _  neshedilemeyen, hükmü kaldırılamayan.  
 kâbil-i süknâ _  oturmaya müsâit.  
 kâbil-i taklit _  taklit edilebilen.  
 kâbil-i taksim _  bölünebilen, taksim edilebilen.  
 kâbil-i tebdil _  değiştirilmesi mümkün.  
 kâbil-i tefrik _  ayrılması mümkün.  
 kâbil-i telâkkuh _  gebeliği mümkün olan.  
 kâbil-i telkih _  dölleme kabiliyeti olan.  
 kâbil-i teshir _  boyun eğdirilen, itaat ettirilen, emir altına alınan.  
 kâbil-i tevfîk _  bağdaştırılabilir kâbiliyette, uydurulabilir özellikte 
 kâbiliyet-i câmia _  birçok özelliği içine alan kâbiliyet.  
 kâbiliyet-i hayr _  hayır kâbiliyeti.  
 kâbiliyet-i hilâfet _  halifelik kâbiliyeti.  
 kâbiliyet-i mâhiyet _  mâhiyetin kâbiliyeti.  
 kâbiliyet-i ruhiye _  ruhtaki güzellik ve mükemmellik.  
 kâbiliyet-i şer _  kötülük işleme kâbiliyeti.  
 kâbiliyet-i zâtiye _  zâtî kabiliyet.  
 kâbiliyet _  dıştan gelen tesirleri alabilme gücü; kabul edebilirlik, olabilirlik, kabul edici yüksek bir kuvvete sahip olmak.  
 kable'l-buluğ _  ergenlik öncesi, buluğdan önce.  
 kable'l-vücud _  vücuda gelmeden.  
 kabr-i ekber _  en büyük kabir.  
 kabul-ü adem _  yokluğunu kabul etme.  
 kabul-ü teslim _  3l6. sayfa.  
 kabı _  almak, tutmak.  
 kabz-ı ervah _  ruhları alma.  
 kabza _  kılıç gibi şeylerin tutacak yeri, sap; el, pençe.  
 kabza-i ilim _  ilime dâhil. ilim dâiresi.  
 kabza-i kudret _  kudret eli.  
 kabza-i Rububiyyet _  terbiye edicilik avucu.  
 kabza-i tasarruf _  idâre eli; tasarrufu altında.  
 kabza-i tedbîr _  tedbir içinde.  
 kader _  Allah'ın kâinatta olmuş ve olacak. her şeyin vasıflarını, özelliklerini ve sâir geleceğini ezelden bilip, levh-i mahfuzunda takdir ve yazması; takdir-i İlâhî; ezelî kısmet; tali', baht, şans.  
 kader-i İlâhi _  Allah'ın kader kânunu.  
 Kadim _ varlığının başlangıcı olmayan Allah; geçmiş, eski; eski zaman.  
 Kadim-i Bâki _  varlığının başlangıcı olmayan ve sonsuz hayat sahibi olan.  
 Kadîm-i Lemyezel _  hiç bir zaman yok olmayan ve varlığının başlangıcı bulunmayan Allah.  
 Kadir _  her şeye gücü yeten sonsuz kudret sahibi Allah.  
 Kadir-i Alim _  her şeyi bilen ve her şeye gücü yeten Allah.  
 Kadir-i Ezeli _  her şeye gücü yeten ve varlığının evveli olmayan Allah.  
 Kadir-i Hakim _  her şeyi hikmetle yaratan ve her şeye kudreti yeten Allah.  
 Kadir-i Kayyum _  başlangıç, nihayet ve yeniden oluş gibi hallerden münezzeh ve ezelden ebede kâim, dâim ve var olan ve her şeye gücü yeten Allah.  
 Kadir-i Küll-i Şey _  her şeye gücü yeten sonsuz kudret sahibi Allah.  
 Kadir-i Mutlak _  kudreti mutlak olan ve her şeye gücü yeten, sonsuz kudret sahibi Allah.  
 Kadiri Rahim _  çok merhametli ve her şeye gücü yeten Allah.  
 Kadir-i Zülcelâl _  büyüklük sahibi ve her şeye gücü yeten Allah.  
 Kadir-i Zülkemâl _  sonsuz kemâl sahibi ve her şeye gücü yeten Allah.  
 kadirşinas _  kadir ve kıymet bilen.  
 Kâdiü'l-Hâcât _  bütün ihtiyaçları yerine getiren Allah.  
 kâfi _  yeterli.  
 kâfile _  topluluk, cemaat, kervan.  
 kâfile-i mahlûkât _  yaratıklar kâfilesi.  
 kâfile-i mevcudât _  varlıklar kâfilesi.  
 kâfir _  Allah'ı ve İslâmiyeti inkâr eden, dinsiz.  
 kâfirâne _  kâfirce, kâfire yakışır şekilde.  
 kâfiye _  mısra sonlarındaki kelime ve mânâ uygunluğu.  
 kâh _  zaman olur, bazen.  
 Kahhâr _  kayıtsız şartsız gâlip ve her an kahretmeye. gücü yeten büyüklük sahibi Allah.  
 Kahhâr-ı Zülcelâl _  büyüklük sahibi ve her şeye her zaman mutlak gâlip gelen Allah.  
 kâhin _  karışık ve tahminî sözlerle gelecekten haber verdiği söylenen kimse, falcı, haberci.  
 kâhir _  üstün, galip.  
 kahr _  zorlama, cebr, ezme, mâhvetme; Allah'ın şiddetli ve azap verici vasıflarının tecellisi, lütfun zıddı.  
 kahraman-ı milli _  millî kahraman.  
 kaht ü galâ _  yokluk, kıtlık, fakirlik.  
 kâide _  kural, prensip, usül.  
 kâide-i külliye _  büyük, geniş, umumî kural; her şeyle ilgili kâide.  
 kâide-i meşhure _  meşhur kâide.  
 kâide-i mukarrere _ yerleşmiş kâide.  
 kâil _ söyleyen, anlatan, nakleden; inanan, boyun eğmiş, razı olmuş.  
 kâim _  ayakta duran, kendine yetebilen.  
 kâinat-ı azime _  büyük kâinat.  
 kâinat-ı seyyâle _  bir kararda olmayıp devamlı değişen kâinat, devamlı yer değiştiren varlıklar 
 kâinat _  Allah'ın dışında var olan her şey, bütün varlıklar, dünya.  
 kal' _  bir şeyi kökünden çekip koparmak, azletmek.  
 kal'a _  kale.  
 kâl _  söz.  
 kalak _ rahatsızlık, huzursuzluk.  
 kalb _ vücudun kan dolaşımı merkezi olan organ; bir halden diğer bir. hâle çevirme, değiştirme; her şeyin ortası.  
 kalb etmek _  değiştirmek.  
 kalb olmak _  değişmek.  
 kalb-i beşer _  insan kalbi.  
 kalb-i fâsık _  günah işleyen ve Allah'ın emirlerine uymayan kimsenin kalbi.  
 kalb-i insan _  insan kalbi.  
 kalb-i insâni _  insanın kalbi.  
 kalb-i kâinat _  kâinatın kalbi.  
 kalb-i sâlih _  iyi ve faydalı işler yapan kimsenin kalbi.  
 kalben _  kalbi olarak, kalp ile, kalpten.  
 kalbî _  kalple ilgili, kalbe âit, kalpten.  
 kalem-i kader _  kader kalemi, bir kalem gibi bütün mahlukatın başına gelecekleri yazan kader.  
 kalem-i kudret _  kudret kalemi, yani kalem, mânâya maddî vücut verdiği gibi kudret de aynen vücud-u ilmiyeye vücud-u haricî verir.  
 kâlen _  söylemek sûretiyle; söyleyerek; sözle.  
 kalıb-ı mânevi _  Kudret-i Ezeliyye tarafından halkedilen eşyanın gelişerek aldığı şekil, ölçü; bu mânevi kalıpla önceden belirleniş.  
 kâli _  sözle ilgili.  
 kalkale _  tecvidde okurken harflerin üzerinde birden durarak harfi, mahrecinden çıkar çıkmaz kesmek suretiyle bu harfleri tekrar okumakdır ki, şunlardır| kaf, tı, bâ, cim, dal.  
 kamçı-yı teşvik _  teşvik kamçısı.  
 kamer _  ay.  
 kamer-i münîr _  nurlu ay; aydınlık veren ay.  
 kamervâri _  ayın hareketleri gibi.  
 kamet _  boy pos, endam, derece, mertebe.  
 kâmet _  namaza başlama işâreti, farz namaza durmadan önce okunan ezan.  
 kamet-i himmet _  himmetin derecesi.  
 kamet-i kıymet _  kıymetin derecesi.  
 kâmil _  mükemmel, olgun, kemal ve fazilet sahibi.  
 Kâmil-i Mutlak _  sonsuz ve sınırsız kemal sahibi Allah.  
 Kâmil-i Zülcemâl _  yüce güzellikler sahibi olan Allah.  
 kanaat _  aç gözlü olmayıp hırs göstermemek, kısmetine râzı olmak; inanç.  
 kanaatkârâne _  elindekiyle yetinerek.  
 kânun _  hukuk, yasa.  
 kânun-u adl _  her şeyi tam ve eksiksiz bir adâletle işlettiren İlâhi kanun.  
 kânun-u askeriye _  askerlik kânunu  
 kânun-u belâğat _  güzel ifâdenin prensip ve usulleri.  
 kânun-u emrî _  Cenâb-ı Hak'kın mânâ ve emir aleminden şükür eden, vasıtasız, doğru işleyen kânunu. bedene ruhu takıp çıkarmak gibi; iş ve emirle ilgili kânun.  
 kânun-u emriye-i mu'ciznümâ _  mu'cize gösteren emir hükmündeki kânun.  
 kânun-u hafiziyet _  Allah'ın bütün kâinatta geçerli olan muhafaza edicilik kânunu.  
 kânun-u hakikat _  şaşmaz İlâhi kânunlar.  
 Kânun-u İlâhi _  Allah'ın kânunu; İlâhi irâde, İlâhî kânunlar.  
 kânun-u ilm-i muhit _  bütün âlemleri kuşatan İlâhî ilmin kanunları.  
 kânun-u Kayyümiyet _  bütün eşyanın Cenâb-ı Hak'kın idâresiyle ve yaratmasıyla varlıklarını sürdürüp, vücutta kalmalarına dâir kânunu.  
 kânun-u kerem _  ihsan, yardim kânunu; lütuf ve ikram ile işleyen kanun-u İlâhî.  
 kânun-u küllî _  her şeyi ihtivâ eden  
 kânun-u mahsus _  hususi bir kânun; özel kâide.  
 kânun-u mübâreze _  mücâdele ve dövüşme kânunu.  
 kânun-u müsâbaka _  yarışma kânunu.  
 kânun-u rabbâni _  Allah'ın koyduğu kânun.  
 kânun-u rahmet _  nihayetsiz şefkat ve merhamet-i İlâhiyeyi gösteren kânun.  
 kânun-u tahsin _  hüsün ve güzellik üzerine işleyen İlâhi kânun.  
 kânun-u teâvün _  yardımlaşmak kânunu.  
 kânun-u tenâsül _  üreme kânunu.  
 kânun-u teşekkülât _  meydana geliş kânunu; şekillenme, belli bir sûret alma kânunu, programı.  
 kânun-u umumi _  genel kânun. Her yerde geçerli kanun.  
 kânun-u vahdet _  birlik kânunu.  
 kânun-u zişuur _  Cenâb-ı Hak'kın şuur sahipleri için işleyen kânunu.  
 kânuni _  kânuna göre.  
 kânuniyet _  kânunluluk, kânun hâline gelmek.  
 kâr _  kazanç.  
 kâr-ı akıl _  aklın kabul edeceği iş, akıllıca iş, akla uygun.  
 karâbet _  yakınlık.  
 karargâh _  karar kılınmış, yerleşilmiş. Mekân, yer.  
 karavana _  bakırdan yayvan yemek kabı.  
 karındaş _  kardeş.  
 kâri _  okuyucu, okuyan.  
 karib _  yakın olan, nâil olan.  
 karib-i müstakim _  doğru ve sağlamlığa en yakın.  
 karine _  işaret. İp ucu. İz, delil.  
 karine-i taayyün _  belli olmayan bir şeyin çözülmesine ve anlaşılmasına yarayan işaret, iz.  
 kam _  zaman, devre; bir insanın ortalama ömrü olan altmış sene; yüzyıl, asır.  
 Kârun _  Hz. Musâ zamanında yaşamış, nankörlüğü sebebiyle Allah tarafından malıyla mülküyle yerin dibine geçirilmiş bir kimse.  
 karye _  köy.  
 kasâid-i vataniye _  vatan kasideleri.  
 kasas-ı Kur'âniye _  Kur'ân'ın kıssaları.  
 kasâvet _  kalp katılığı, gaflet, kaygı, tasa, üzüntü.  
 kasâvet-i vahşiyâne _  kaskatı bir vahşîlik.  
 kâselis _  dalkavuk. Çanak yalayıcıları.  
 kasem _  yemin.  
 kasır _  köşk, saray, bina, yapı.  
 kâsır _  dar, kısa, noksan.  
 kâsırü'l-fehm _  anlayışı noksan; kısa anlayışlı, anlayışsız.  
 kâsıt _  kast eden, isteyen.  
 kâsib _  kesb eden; kazanç sahibi; kazanmak için çalışan.  
 kaside _  büyük kimseleri ve herhangi birşeyi öven manzume şekli.  
 kaside-i letâfetnümâ _  hoş ve güzel görülen şiir gibi ölçülü her bir yaratık.  
 kasîde-i manzume-i hikmet _  Cenâb-ı Hakkın hikmetlerini metheden şiir.  
 kaside-i medhiye _  medhedici, övgüyle dolu kaside.  
 kasîdehan _  kaside okuyan.  
 kasiyye _  karanlık, katılık.  
 kasr-ı âlem _  bir saraya benzeyen kâinât.  
 kasrı âli _  yüce olan kasr, saray.  
 kasr-ı hayâli _  hayal sarayı. Hayal dünyası.  
 kasr-ı İslâmiyet _  İslâmiyet sarayı..  
 kasr-ı kâinât _  kâinât sarayı.  
 kast _  bir işi bile bile yapmak, isteyerek, niyet ederek.  
 kast-ı İlâhi _  Allah'ın kastı; İlâhî kasıt.  
 kast-ı tezyin _  kasden süsleyip güzelleştirme.  
 kasten _  bile bile, isteyerek.  
 kastî _  isteyerek, kasdederek, niyetle ve bile bile yapılan.  
 kâşif _  keşfedici, keşfeden.  
 kat' _  kesme; yol alma.  
 kat'-ı alâka _ alâkayı kesmek.  
 kat'-ı intisap _  alâkayı ve bağlılığı kesme.  
 kat'-ı merâtib _  mertebeler kesmek; mertebelerde yükselmek, ilerlemek.  
 kat'-ı mesâfe _  mesafenin kısaltılması.  
 kat'-ı nazar _  ". bir tarafa" mânâsında, dikkate almamak, nazara almamak, nazardan uzak tutmak.  
 kat'â _  asla, kesinlikle, hiç bir zaman.  
 katarât _  katreler, damlalar.  
 kâtıü't·tarik _ yol kesen, eşkıya.  
 katî _  kesin.  
 katiü'l-vücud _ varlığı kesin.  
 kâtib-i mu'ciznümâ _  mu'cize sâhibi olan Kâtib.  
 kâtip _ yazan, yazıcı.  
 katiyen _  kesin olarak, kesinlikle.  
 katiyet _  kesinlik.  
 katl _  öldürme.  
 katliam _  bir yerde bir anda çok kimsenin öldürülmesi, herkesi kılıçtan geçirme.  
 katmer _  bir şeyin kat kat olması.  
 katre _  damla, yağmur taneleri.  
 katre-i fikr _  düşünce damlası.  
 katre-misâl _  damla gibi.  
 kavâid _  kâideler, prensipler.  
 kavânin _ kânunlar.  
 kavânin-i âdet _ âdet kânunları, Allah'ın kâinâta koyduğu kânunlar.  
 kavânîn-i âdetullah _  kâinatta işleyen ilâhî kânunlar. Yaratılış kânunları.  
 kavânîn-i emriye _  doğrudan doğruya Cenâb-ı Hak'kın emir tahtından çıkıp, hükmünü icra eden kânunları. Değişikliğe uğramadan devam eden sabit hakikatler.  
 kavânin-i hayat _ hayat kânunları.  
 kavânin-i hayatiye _  hayat kânunları.  
 kavânîn-i ilm-i ezeli _  Cenab-ı Hakkın ezeli ilminin kânunları, prensipleri  
 kavânin-i külliye _  her şeyi içine alan ve her yerde geçerli olan kânunlar.  
 kavânin-i mahsusa _  hususi kâideler. Özel kânunlar.  
 kavânin-i muayyene _ belirlenmiş kânunlar. Nizamnâme.  
 kavânîn-i rahmet _  rahmet kânunları.  
 kavanîn-i teşkîliye _  şekillenme; şekil alma kânunu.  
 kavânin-i ubudiyet _  kulluğun esasları.  
 kavi _ kuvvetli, sağlam, metin, zorlu.  
 Kavi-i Mutlak _  sonsuz ve sınırsız kuvvet sahibi Allah.  
 kavim _  millet, aralarında dil, âdet, örf, kültür birliği olan insan topluluğu.  
 kavl (kavil) _  anlaşma, sözleşme, konuşulan söz, söz cümlesi, itikad, delâlet.  
 kavl-i şârih _  açıklayan söz.  
 kavlen _  sözle, söyleyerek.  
 kavli _  söze âit ve sözle ilgili.  
 kavm-i Ad _  Yemen tarafında yaşayan Hz. Hud'a isyanları sebebiyle helâk edilen bir millet.  
 kavm-i Firavun _  Firavun'un kavmi.  
 kavm-i Musâ _  Musâ'nın kavmi.  
 kavm-i Nûh _  Nuh Aleyhisselâmın kavmi.  
 kavm-i Semud _  Sâlih ve Hud peygamberlerin kavmi.  
 kavs-i mevhume _  hayali kavis; hayali kuşak.  
 kavvad _  arsız, pezevenk, deyyus.  
 kay _  hazmolmamış gıda. Hazmedilmemiş yiyecek.  
 kayd-ı haysiyet _  mâhiyet ve özellik. Nitelik.  
 kayd-ı maddiyat _  maddi ve cismâni şeylerin bağı, sınırı.  
 kayıt _  bağ, sınır; bir şeyi bir yere yazmak.  
 Kayyum _  varlığı, diriliği her an için olup, gökleri, yerleri her an için tutan, dâimi her şeye her hususta iktidarı olan Allah.  
 Kayyum-u Baki _  sonsuz hayat sahibi olan ve her şeyi ayakta tutan Allah.  
 Kayyûm-u Sermedi _  başlangıç ve sonu olmayıp her zaman var olan ve her şeyi ayakta tutan, sonsuz hayat sahibi Allah.  
 Kayyumiyet _  Allah'ın ezelî ve ebedi oluşu, dâimî mevcudiyeti ve bâkiliği.  
 kazâ _  ezeli ilmiyle bilip takdir ettiği hâdiselerin vakti zamanı gelince gerçekleşmesi.  
 kazâ-i hacet _  ihtiyacını gidermek, büyük abdest bozmak 
 kaza-i şehvet _  şehvet ihtiyâcını gidermek, cinsî münâsebet.  
 kaziyye-i mümkine _  mümkün olan hüküm.  
 kazurât _  pislikler, artık maddeler.  
 kebair _  büyük günahlar.  
 keder _  üzüntü.  
 kefâret _  bir günahı affettirmek ümidiyle yapılan ibâdet veya çekilen sıkıntı.  
 kefâreten _  günahtan arınarak. Günah affettirerek.  
 kefe _  terazinin gözü.  
 kefe-i mizan _  terazi kefesi.  
 kefeteyn-i havf ü recâ _  korku ve ümid kefeleri.  
 keffâretü'zzünüb _  günahların keffâreti, mü'minlere işledikleri günahların affı için Allah tarafından verilen hastalık ve musîbetler.  
 kehânetfüruş _  falcı, falcılık yapan.  
 kehkeş _  samanyolu 
 Kehkeşan _  samanyolu.  
 kehribar _  bir yere hızlıca sürüldüğü zaman hafif şeyleri kendine çeken bergami taş.  
 kelâm _  söz, lâf, konuşmak · mantık ve hikmete uygun olarak İslâmî esaslar çerçevesinde Allah'ın varlığı, sıfatları ve İslâm'ın doğruluğundan bahseden ilim.  
 kelâm-ı beşer _  insan sözü.  
 kelâm-ı ezeli _  ezeli söz varlığının başlangıcı olmayan Allah'a âit olduğu için mânen ezeli olan söz.  
 kelâm-ı pürmaâni _  pek mânidâr kelime.  
 kelâm-ı Rabbani _  Allah'ın sözü.  
 kelâm-ı Rahmani _  Rahman olan Allah'ın şefkatli kelâmı.  
 kelâm-ı Tevhid _  tevhid-i İlâhi'den bahseden âyet ve kelimeler.  
 kelâmât-ı hikmet _  hikmet sözleri.  
 Kelamullah _  Allah'ın kelâmı, Kur'ân.  
 kelb _  köpek.  
 kelimât _  kelimeler, sözler.  
 kelimât-ı İlâhiye _  Allah'ın sözleri.  
 kelimât-ı kütüb-ü kâinat _  kâinat kitabının ifâde ettiği. mânâlı kelimeler.  
 kelimât-ı kudret _  kudret kelimeleri. İlâhi kudretin cilveleri.  
 kelimât-ı Kur'âniye _  Kur'ân'ın kelimeleri.  
 kelimât-ı mübâreke _  mübârek kelimeler.  
 kelimât-ı tesbihiye _  Allah'ın kusur ve noksandan münezzeh olduğunu belirtmek için kullanılan kelimeler-SübhânAllah gibi. Bütün varlıkların kendilerine uygun bir şekilde Allah'ı tesbih etmeleri.  
 Kelimetullah _  Allah'ın kelâmı; şeriat. Kur'ân 
 kelime-i hikmet _  hikmet kelimesi.  
 kelime-i hikmetedâ _  hikmetli kelime.  
 kelime-i hikmetnümâ _  hikmetli kelime hikmet gösteren kelime.  
 kelime-i kudret _  kudret kelimesi.  
 kelime-i maneviye _  mânevî ifâdeler; mânâlı sözler.  
 kelime-i mektube _  yazılmış kelime.  
 kelime-i tesbihfeşan _  tesbih ifâde eden kelime.  
 kellâ _  aslâ, öyle değil, hiçbir zaman.  
 kemâl _  olgunluk, erginlik; bütün güzel sıfatlara sahip olmak, fazilet.  
 kemâl-i acz _  tam âcizlik ve fakirlik.  
 kemâl-i adâlet _  eksiksiz ve noksansız bir adâlet.  
 kemâl-i akıl _  aklın olgunluğu.  
 kemâl-i bizevâl _  son bulmayan kemal.  
 kemâl-i cemâl ve mânevi _  mânevi güzellik ve olgunluk.  
 kemâl-i ciddiyet _  tam bir ciddiyet.  
 kemâl-i dikkat _  tam bir dikkat.  
 kemâl-i ef'âl _  fiillerdeki mânâ mükemmelliği.  
 kemâl-i emniyet _  tam bir emniyet.  
 kemâl-i esmâ _  isimlerin mükemmelliği.  
 kemâl-i etemm _  tam ve eksiksiz kemâl.  
 kemâl-i evsaf _  vasıflardaki yücelik ve mükemmelik.  
 kemâl-i fıtrat _  yaratılışın mükemmelliği.  
 kemâl-i haşmet _  heybet ve büyüklüğün mükemmel oluşu.  
 kemâl-i hayret _  çok fazla şaşkınlık.  
 kemâl-i hikmet _  tam ve eksiksiz hikmet, şaşmaz bir hikmet ve gâye.  
 kemâl-i hilkat _ yaratılışın mükemmelliği.  
 kemâl-i hürriyet _  en mükemmel ve tam bir hürriyet.  
 kemâl-i hüsn-ü sanat _  mükemmel güzel san'at.  
 kemâl-i iman _ tam ve mükemmel iman.  
 kemâl-i itinâ ve ihtimam _  tam bir özen ve titizlik.  
 kemâl-i iftikâr _  Allah'a karşı fakirliğini tam hissetme.  
 kemâl-i ihtilât _  sonsuz karışıklık.  
 kemâl-i İlâhiye _ ilâhi mükemmellik.  
 kemâl-i ilmî _ ilmi olgunluk.  
 kemâl-i imtisâl _  hakkıyla uymak; eksiksiz boyun eğiş.  
 kemâl-i imtiyaz _  tam bir ayrılma ve farklı olma.  
 kemâl-i inâyet _ tam ve mükemmel yardım.  
 kemâl-i inkıyad _  tam bu itaat ve boyun eğme.  
 kemâl-i intizam _  tam bir düzen, mükemmel intizam.  
 kemâl-i istidat _ mükemmel bir kâbiliyet.  
 kemâl-i istikâmet _ tam doğruluk.  
 kemâl-i iştihâ _ tam iştah.  
 kemâl-i itaat _ tam bir itaat.  
 kemâl-i ittifak _  tam bir söz birliği.  
 kemâl-i kudret _  kudretin mükemmelliği tam ve eksiksiz kudret.  
 kemâl-i kudret-i İlahiye _  İlâhi kudretteki mükemmellik.  
 kemâl-i lezzet _  tam lezzet.  
 kemâl-i liyâkat _  mükemmel bir şekilde lâyık oluş.  
 kemâl-i merak _ tam bir merak ile.  
 kemâl-i merhamet _  tam merhamet.  
 kemâl-i mevzuniyet _  tam ve kusursuz bir şekilde ölçülü olma.  
 kemâl-i mizan _  tam ölçü. Mükemmel ölçüler, ayarlar.  
 kemâl-i mîzan ve intizam _ tam, mükemmel bir ölçü, denge ve intizam.  
 kemâl-i mutlak _  sonsuz ve sınırsız mükemmellik.  
 kemâl-i muvâzene _  tam bir denge, tam ölçülülük.  
 kemâl-i münâsebet _  tam bir münâsebet, aşırı derecede ilgili ve bağlı oluş.  
 kemâl-i neşe _  tam bir neşe.  
 kemâl-i rahat _ tam bir rahatlık.  
 kemâl-i rahmet _  bir merhamet.  
 kemâl-i rahmet _  şefkat, merhamet ve ihsânın en mükemmeli.  
 kemâl-i Rubûbiyet _  Cenâb-ı Hakkın yaratıklarını terbiye edicilik ve besleyicilik ve gözeticilik vasfının mükemmelliği 
 kemâl-i safâ _  tam bir huzur ve gönül şenliği içinde.  
 kemâl-i salâhât _  mükemmel derecede sâlih kimseler.  
 kemâl-i sanat _  mükemmel güzel sanat.  
 kemâl-i serbestiyet _  tamâmen serbest oluş.  
 kemâl-i Sermediyet _  sonsuzluğun tam ve eksiksiz oluşu.  
 kemâl-i sıfât _  sıfatların kemâli, olgunluğu, yüceliği.  
 kemâl-i sühulet _  tam kolaylık.  
 kemâl-i sürat _  tam bir sürat.  
 kemâl-i şebâbet _  mükemmel derecedeki gençlik.  
 kemâl-i şefkat _  kusursuz şefkat; tam ve mükemmel şefkat.  
 kemâl-i şevk _  tam bir istek ve neşe.  
 kemâl-i şuun _  kabiliyetlerin mükemmelliği.  
 kemâl- taaccüb _  çok fazla şaşırma.  
 Kemal-i tazim _  tam bir hürmet ve saygı.  
 kemâl-i tenâsüb _  tam bir uygunluk.  
 kemâl-i teşhis _  tam bir bilme, tesbit.  
 kemâl-i vuzuh _  tam bir açıklık.  
 kemal-i zât _  zâtın kemâli. Müşahhas ve görünen mükemmellik.  
 kemal-i zâti _  zâtın lâzımı olan ve ondan hiç ayrılmayan kemâl.  
 kemal-i zînet _  mükemmel bir süsleme; tam ve eksiksiz bir süslülük.  
 kemal-i zillet _  tam bir alçaklık, aşağılık.  
